Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
101,74,19,165,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 6263, frequency: 5)],30,486486,42,205882,1,810811
102,74,20,167,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5)],30,108108,42,200000,1,837838
103,75,19,165,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5)],29,720000,42,200000,1,840000
104,75,20,168,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],29,346667,42,000000,1,840000
105,75,20,167,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],29,160000,41,657895,1,853333
106,75,17,167,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],29,573333,41,282051,1,880000
107,74,17,166,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],29,783784,42,450000,1,797297
108,70,15,167,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],31,771429,42,886364,1,857143
109,67,16,171,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],32,865672,42,914894,1,910448
110,68,15,165,[(genotype: 2312, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2670, frequency: 5)],32,500000,42,914894,1,911765
111,65,14,173,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],34,169231,42,549020,2,030769
112,64,13,177,[(genotype: 2312, frequency: 6), (genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5)],34,890625,41,962264,2,093750
113,64,14,181,[(genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2502, frequency: 5)],34,625000,42,381818,2,093750
