Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
60,142,15,26,[(genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2661003245031227520635741, frequency: 3)],21,788732,15,210526,2,591549
61,140,14,32,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3)],21,942857,14,991935,2,721429
62,143,17,28,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3)],21,027972,14,992248,2,734266
63,139,15,29,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3)],21,546763,14,928571,2,892086
64,134,15,34,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3)],22,111940,14,741497,3,014925
65,130,15,32,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3)],22,600000,14,750000,3,084615
66,125,15,37,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,360000,14,809524,3,216000
67,124,16,32,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,338710,15,011299,3,225806
68,127,13,25,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],22,866142,15,088398,3,228346
69,125,11,28,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,232000,15,069149,3,336000
70,123,15,32,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,138211,15,615385,3,219512
71,122,16,29,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,098361,15,525000,3,303279
72,118,14,36,[(genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 2074646776031227520635741, frequency: 3)],23,932203,15,591346,3,415254
73,112,14,34,[(genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 2074646776031227520635741, frequency: 3)],25,125000,15,583333,3,535714
74,113,17,32,[(genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 2074646776031227520635741, frequency: 3)],24,575221,15,615385,3,522124
75,115,17,38,[(genotype: 4211672626244054054026765, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],24,060870,15,598214,3,547826
76,115,18,38,[(genotype: 4211672626244054054026765, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,895652,15,652174,3,600000
77,117,18,36,[(genotype: 4211672626221707711336546, frequency: 3), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,410256,15,555085,3,666667
78,115,19,35,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,643478,15,753086,3,608696
79,114,20,42,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 8818688888888888888802153, frequency: 2)],23,701754,15,880478,3,657895
80,116,14,33,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 8818688888888888888802153, frequency: 2)],23,724138,15,941176,3,620690
81,109,17,32,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 8818688888888888888802153, frequency: 2)],24,926606,16,037594,3,779817
82,114,15,36,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 8818688888888888888802153, frequency: 2)],23,947368,16,000000,3,736842
83,119,15,35,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],22,848739,15,981550,3,714286
84,120,14,30,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],22,616667,15,963636,3,741667
85,121,15,32,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],22,206612,16,000000,3,752066
86,125,14,33,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6265515760244054054026765, frequency: 2)],21,448000,16,159011,3,632000
87,129,16,31,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6265515760244054054026765, frequency: 2)],20,457364,16,139860,3,627907
88,131,16,31,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6265515760244054054026765, frequency: 2)],19,977099,16,307167,3,580153
89,133,16,25,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6265515760244054054026765, frequency: 2)],19,466165,16,287162,3,556391
90,131,16,31,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6265515760244054054026765, frequency: 2)],19,572519,16,328947,3,633588
91,132,15,27,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6265515760244054054026765, frequency: 2)],19,310606,16,435484,3,583333
92,132,15,37,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 2661003245761036157202367, frequency: 3), (genotype: 6265515760244054054026765, frequency: 2)],19,113636,16,427215,3,628788
93,131,14,31,[(genotype: 4211672626221707711336546, frequency: 6), (genotype: 6265515760244054054026765, frequency: 2), (genotype: 4212705888601388818522136, frequency: 2)],19,160305,16,430769,3,748092
94,132,16,30,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 6265515760244054054026765, frequency: 2), (genotype: 4212705888601388818522136, frequency: 2)],18,666667,16,621212,3,674242
95,131,16,29,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 6265515760244054054026765, frequency: 2), (genotype: 4212705888601388818522136, frequency: 2)],18,625954,17,035503,3,526718
96,133,17,28,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 6365515760444054535522136, frequency: 2), (genotype: 4212705888601388818522136, frequency: 2)],18,060150,17,026393,3,526316
